iter	Logloss
0	0.6902414073
1	0.6846299059
2	0.6841456282
3	0.6823152422
4	0.6823163011
5	0.6823141354
6	0.6823154863
7	0.682170016
8	0.6809744734
9	0.6729167261
10	0.6699248247
11	0.6699246749
12	0.6658605947
13	0.6633887072
14	0.6633898308
15	0.6633882533
16	0.6617671039
17	0.6581576697
18	0.6581566186
19	0.6566994357
20	0.6566974849
21	0.6562245884
22	0.6523902323
23	0.6467136747
24	0.6467135994
25	0.6446869258
26	0.6446872997
27	0.6442539945
28	0.6396671186
29	0.6394854253
30	0.6365241173
31	0.6339267877
32	0.6312505004
33	0.6305511807
34	0.6227420235
35	0.6227420054
36	0.6220133941
37	0.6220111293
38	0.620525843
39	0.6205262001
40	0.6201782692
41	0.6199025876
42	0.6199030955
43	0.6195976348
44	0.6195961559
45	0.6165225524
46	0.6165216373
47	0.6102560524
48	0.6066899493
49	0.6064997499
50	0.6048661143
51	0.6026821164
52	0.6007425246
53	0.6005952447
54	0.5968251535
55	0.5931908106
56	0.5931895166
57	0.5931893841
58	0.5931877892
59	0.5918228622
60	0.5898056308
61	0.5898052401
62	0.5894422594
63	0.5893416652
64	0.5848766397
65	0.5837763593
66	0.5816829231
67	0.5816808058
68	0.5816807865
69	0.5816791583
70	0.5816780551
71	0.5813343879
72	0.5783822623
73	0.5782981647
74	0.576133994
75	0.5761345772
76	0.5761334768
77	0.5708912606
78	0.5695483091
79	0.5669872626
80	0.5630675792
81	0.5615182532
82	0.5613328203
83	0.5613320548
84	0.5602272279
85	0.5593329387
86	0.559213739
87	0.5574195496
88	0.5564436747
89	0.55501913
90	0.5537177334
91	0.5537164445
92	0.5537165052
93	0.553014281
94	0.5528329656
95	0.5528325026
96	0.5528312556
97	0.551927725
98	0.5519250215
99	0.5517602258
100	0.5517496662
101	0.5517490183
102	0.5517486342
103	0.5517486611
104	0.5484842832
105	0.54496286
106	0.5448411571
107	0.5438149039
108	0.5436994156
109	0.5411020695
110	0.5411011169
111	0.5411002034
112	0.5380902343
113	0.5380894671
114	0.5368189589
115	0.5366229477
116	0.5333584803
117	0.5332519565
118	0.5317376092
119	0.5305625335
120	0.5277682327
121	0.527384116
122	0.5258671992
123	0.5249964745
124	0.5249124706
125	0.5249103941
126	0.5249055486
127	0.5243135159
128	0.5243117014
129	0.5242143963
130	0.5228781387
131	0.5213728644
132	0.5211227053
133	0.5211215702
134	0.5186330907
135	0.5185829654
136	0.5185826519
137	0.51781937
138	0.5178175962
139	0.5171462177
140	0.5171454562
141	0.5171120359
142	0.517112399
143	0.5171083688
144	0.5158996845
145	0.5158986994
146	0.514135875
147	0.5130220688
148	0.5130230351
149	0.5124401471
150	0.5124392016
151	0.5113878514
152	0.5111628594
153	0.5107980445
154	0.5090980631
155	0.5090731557
156	0.5090730008
157	0.5090735574
158	0.5085354182
159	0.5079898123
160	0.5057062827
161	0.5056627264
162	0.5056319612
163	0.5056317293
164	0.5055950521
165	0.5055945959
166	0.5038868977
167	0.5031607615
168	0.5023776796
169	0.5017185689
170	0.5015756597
171	0.5006348434
172	0.5000592894
173	0.4978151815
174	0.4978146538
175	0.4978019046
176	0.4970677181
177	0.4970675644
178	0.4969874154
179	0.4963198166
180	0.4951037728
181	0.4951029837
182	0.4940289073
183	0.4940284196
184	0.4939460928
185	0.4935463657
186	0.4928984653
187	0.4928980526
188	0.4920069319
189	0.4920067083
190	0.4920067084
191	0.4916997175
192	0.4898339449
193	0.4896797406
194	0.4883913394
195	0.4880919928
196	0.4877337546
197	0.4869235064
198	0.4861342794
199	0.4860885989
200	0.4857515508
201	0.4856681433
202	0.4856680285
203	0.4854265038
204	0.4854263916
205	0.4854171461
206	0.4841091707
207	0.4837277652
208	0.4829998491
209	0.4824993529
210	0.4824993894
211	0.4820823556
212	0.4815140833
213	0.4815115018
214	0.4813441747
215	0.480579002
216	0.4805100979
217	0.4798921604
218	0.4794821743
219	0.4794826977
220	0.4792615122
221	0.479261888
222	0.4791043174
223	0.4784252834
224	0.478425319
225	0.4773135161
226	0.4762772455
227	0.4755321217
228	0.4751066121
229	0.4751063121
230	0.4751060882
231	0.4750880981
232	0.4750882484
233	0.4749872504
234	0.4746415741
235	0.4745282251
236	0.4733472803
237	0.4731859067
238	0.4731286794
239	0.4727012159
240	0.4725633957
241	0.4725629472
242	0.4710420945
243	0.4707368629
244	0.4707370495
245	0.4706791552
246	0.470679042
247	0.4705487886
248	0.4705487886
249	0.4705490128
250	0.4705487137
251	0.4705485252
252	0.4701919088
253	0.4701920587
254	0.4697724771
255	0.4695551134
256	0.4691508249
257	0.4678372778
258	0.4678372028
259	0.4676339173
260	0.4671645241
261	0.4671511088
262	0.4669127324
263	0.4665136868
264	0.4661693301
265	0.4660796393
266	0.4658940236
267	0.4658938375
268	0.4658561042
269	0.4658560666
270	0.4658552389
271	0.4657590333
272	0.4655330033
273	0.4655321369
274	0.4653388769
275	0.4650567916
276	0.4650472671
277	0.4648999703
278	0.4646477067
279	0.4645437094
280	0.4643723922
281	0.4639318421
282	0.4639318801
283	0.4639107096
284	0.4638510542
285	0.4631979952
286	0.4624765929
287	0.4623260407
288	0.4622556682
289	0.4618408627
290	0.4612471261
291	0.4605858238
292	0.4605861999
293	0.459816487
294	0.4591589071
295	0.4591584962
296	0.4585934914
297	0.4583843621
298	0.4578069903
299	0.4578066552
300	0.457806692
301	0.4576208771
302	0.4573185379
303	0.4573185379
304	0.4572080362
305	0.4571976767
306	0.4571070512
307	0.4571072765
308	0.4568369457
309	0.4567978705
310	0.4567979075
311	0.4567971941
312	0.45679697
313	0.4558328127
314	0.4555127387
315	0.455233195
316	0.455232747
317	0.4541329585
318	0.4541326215
319	0.4541238867
320	0.4538799136
321	0.4538004046
322	0.4537201472
323	0.453474132
324	0.4528463564
325	0.4523417751
326	0.4515688263
327	0.4515691254
328	0.4515282777
329	0.4515283914
330	0.4515285041
331	0.4513692148
332	0.450980457
333	0.450980457
334	0.4507607428
335	0.4507336659
336	0.450733517
337	0.4506244733
338	0.4506243608
339	0.45002665
340	0.4500266126
341	0.4494066368
342	0.4493966717
343	0.449166533
344	0.4488522489
345	0.4488520623
346	0.4483481289
347	0.4479562885
348	0.4478440382
349	0.44710248
350	0.4470998249
351	0.4470994887
352	0.4470735877
353	0.4470431212
354	0.4470425221
355	0.4470419967
356	0.4459903191
357	0.4456927479
358	0.4452348759
359	0.4449318813
360	0.4443359059
361	0.4440860382
362	0.4440860015
363	0.4440779486
364	0.4438972748
365	0.4438972011
366	0.4432290743
367	0.4432292622
368	0.4430579788
369	0.4426997387
370	0.4426998511
371	0.442332109
372	0.4423322962
373	0.4423322962
374	0.4423322962
375	0.4423322962
376	0.4423322962
377	0.4420416856
378	0.441896137
379	0.4418622905
380	0.4418622915
381	0.4418620668
382	0.4414404255
383	0.4414404265
384	0.4414371388
385	0.4414293554
386	0.4413426128
387	0.4413429509
388	0.4412952888
389	0.4412953649
390	0.4406141303
391	0.4401834197
392	0.4401833452
393	0.4400572263
394	0.4399601004
395	0.4399319703
396	0.4396352704
397	0.4395512547
398	0.4392394312
399	0.4392212697
400	0.4389980424
401	0.4389981172
402	0.4389882898
403	0.438811794
404	0.4386237296
405	0.4386151484
406	0.4384354431
407	0.4379323966
408	0.4379231585
409	0.4377750925
410	0.4371594824
411	0.4371040881
412	0.4371041262
413	0.4370568854
414	0.4370569981
415	0.436712588
416	0.4367128126
417	0.4367127001
418	0.4362435482
419	0.4360554907
420	0.4356161324
421	0.4356163202
422	0.4356145611
423	0.4351494956
424	0.4351301134
425	0.4350864765
426	0.4350361666
427	0.4350087403
428	0.4346790791
429	0.4342052228
430	0.4342010974
431	0.4338438628
432	0.4338439385
433	0.4331826062
434	0.4326403551
435	0.4325121696
436	0.4324973349
437	0.4323120765
438	0.4323120397
439	0.4322179468
440	0.4322080686
441	0.4321907251
442	0.432190651
443	0.4321904259
444	0.4321905017
445	0.4318267691
446	0.4317230262
447	0.4317140435
448	0.4317135951
449	0.4317136704
450	0.4314949825
451	0.4309020718
452	0.4308401865
453	0.4308144345
454	0.4305839665
455	0.4305687207
456	0.4303210995
457	0.4302786056
458	0.4302447962
459	0.4302448723
460	0.4301871141
461	0.4301739698
462	0.429963897
463	0.4299638974
464	0.4299513947
465	0.4299365616
466	0.4299365616
467	0.4297860897
468	0.4297848924
469	0.4297849292
470	0.429784667
471	0.4293685148
472	0.4293685898
