iter	Passed	Remaining
0	12	12502
1	19	9884
2	81	27118
3	90	22452
4	97	19471
5	106	17613
6	114	16269
7	123	15344
8	130	14418
9	138	13674
10	146	13147
11	152	12574
12	168	12792
13	175	12366
14	183	12066
15	193	11922
16	199	11545
17	205	11227
18	214	11075
19	222	10909
20	228	10655
21	233	10385
22	239	10185
23	245	10001
24	251	9816
25	257	9639
26	262	9467
27	268	9316
28	273	9147
29	280	9076
30	287	8975
31	296	8970
32	303	8885
33	408	11597
34	430	11872
35	449	12030
36	557	14509
37	564	14301
38	574	14159
39	595	14301
40	605	14163
41	637	14529
42	643	14314
43	655	14248
44	666	14144
45	778	16139
46	785	15919
47	792	15716
48	804	15609
49	810	15403
50	818	15230
51	825	15049
52	833	14894
53	840	14727
54	875	15049
55	887	14956
56	894	14794
57	900	14625
58	909	14503
59	914	14334
60	929	14313
61	940	14229
62	946	14072
63	975	14265
64	1083	15584
65	1089	15411
66	1096	15264
67	1102	15115
68	1118	15097
69	1126	14968
70	1135	14852
71	1239	15980
72	1248	15852
73	1255	15713
74	1268	15645
75	1278	15538
76	1284	15399
77	1290	15253
78	1302	15183
79	1324	15233
80	1330	15095
81	1341	15019
82	1348	14899
83	1354	14774
84	1361	14660
85	1368	14547
86	1376	14448
87	1382	14327
88	1391	14239
89	1447	14631
90	1474	14723
91	1483	14640
92	1493	14567
93	1501	14470
94	1510	14393
95	1520	14316
96	1529	14236
97	1538	14159
98	1548	14090
99	1555	13997
100	1562	13907
101	1572	13846
102	1583	13791
103	1641	14144
104	1652	14088
105	1658	13989
106	1665	13901
107	1671	13806
108	1678	13717
109	1687	13655
110	1697	13595
111	1705	13524
112	1711	13432
113	1720	13367
114	1740	13397
115	1747	13316
116	1753	13232
117	1759	13154
118	1774	13136
119	1814	13303
120	1878	13647
121	1885	13569
122	1890	13481
123	1915	13528
124	1922	13454
125	1929	13384
126	1940	13337
127	1954	13314
128	1965	13272
129	1984	13283
130	1991	13210
131	2000	13152
132	2005	13072
133	2010	12991
134	2019	12936
135	2025	12870
136	2032	12800
137	2093	13074
138	2151	13327
139	2157	13254
140	2165	13193
141	2179	13168
142	2186	13105
143	2191	13026
144	2205	13007
145	2215	12959
146	2285	13260
147	2293	13200
148	2309	13190
149	2316	13124
150	2321	13052
151	2328	12992
152	2339	12950
153	2354	12932
154	2364	12891
155	2371	12829
156	2383	12799
157	2462	13121
158	2472	13077
159	2564	13464
